Latitude,Longitude,Municipality,District
25.9986,50.6167,South,Jaw
26.0333,50.55,South,Al Sakhir
26.0475,50.4864,South,Zallaq
26.0625,50.5272,South,Al Sakhir
26.0686,50.5039,North,Dar Kulaib
26.0753,50.5014,North,Shahrakkan
26.0828,50.4897,North,Sadad
26.105,50.5386,South,Safrah
26.1153,50.5069,North,Madinat Hamad
26.1156,50.4819,North,Karzakkan
26.1264,50.4811,North,Damistan
26.13,50.555,South,Riffa
26.1347,50.5975,South,Nuwaidrat
26.1433,50.4594,North,Al Hamala
26.1503,50.5819,Capital,Sanad
26.1514,50.4975,North,Buri
26.1547,50.6206,Capital,Abu Al Aish
26.1622,50.4492,North,Al Jasrah
26.163,50.5159,North,Al Ramli
26.1694,50.5753,Capital,Jurdab
26.1736,50.5478,South,Isa Town
26.1831,50.5247,North,Salmabad
26.1869,50.5494,Capital,Tubli
26.19,50.4678,North,Al Janabiyah
26.1942,50.4819,North,Saar
26.1972,50.4628,North,Al Qurayyah
26.2047,50.52,North,Buqwa
26.2097,50.4597,North,Bani Jamrah
26.2103,50.4733,North,Al Markh
26.2108,50.4875,North,Magabah
26.2111,50.6011,Capital,Juffair
26.2131,50.45,North,Budaiya
26.2147,50.5069,North,Al Shakhurah
26.2153,50.5642,Capital,Zinj
26.2156,50.5192,North,Qadam
26.216,50.5846,Capital,Adliya
26.2172,50.5275,Capital,Jabalt Hibshi
26.2178,50.502,North,Abu Saiba'a
26.2181,50.4706,North,Al Diraz
26.2272,50.5508,Capital,Sanabis
26.2292,50.5094,North,Karana
26.2294,50.4808,North,Barbar
26.2303,50.5294,Capital,Karbabad
26.2306,50.4947,North,Jannusan
26.2361,50.5831,Default,Manama Center
26.2389,50.6353,Muharraq,Halat Alnaim
26.2397,50.5369,Capital,Alseef District
26.2456,50.6542,Muharraq,Hidd
26.2572,50.6119,Muharraq,Muharraq
26.2733,50.6503,Muharraq,Galali
26.2842,50.6236,Muharraq,Dair
